Location,pickup_latitude,pickup_longitude
Elmhurst/Maspeth,40.73197,-73.88307
Westchester Village/Unionport,40.83427,-73.85054
East Flatbush/Farragut,40.63839,-73.93693
Soundview/Bruckner,40.82658,-73.86848
Claremont/Bathgate,40.84393,-73.9016
Bay Terrace/Fort Totten,40.79261,-73.77605
Williamsbridge/Olinville,40.88038,-73.86328
East Flatbush/Remsen Village,40.65279,-73.92981
Briarwood/Jamaica Hills,40.7124,-73.81114
Riverdale/North Riverdale/Fieldston,40.8976,-73.90499
Allerton/Pelham Gardens,40.86548,-73.84632
Schuylerville/Edgewater Park,40.8284,-73.82318
Marine Park/Mill Basin,40.61018,-73.91097
Marine Park/Floyd Bennett Field,40.59929,-73.88555
Saint Michaels Cemetery/Woodside,40.73738,-73.89973
Times Sq/Theatre District,40.7589,-73.98513
Penn Station/Madison Sq West,40.75056,-73.99322
South Beach/Dongan Hills,40.5902,-74.06603
Heartland Village/Todt Hill,40.58623,-74.15955
Charleston/Tottenville,40.52621,-74.22933
Breezy Point/Fort Tilden/Riis Beach,40.56144,-73.90234
Sutton Place/Turtle Bay North,40.75658,-73.96557
Bloomfield/Emerson Hill,40.60727,-74.10252